in individual
Mutex Edge, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Model,Parsing Errors Model,
__CONFIG_H8300H__ -- __UCLIBC_BUILD_NOW__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __TARGET_e1__,0,0,0,0,0,
__CONFIG_CYRIXIII__ -- __CONFIG_MIPS_ISA_4__,0,0,0,0,0,
__HAVE_NO_PIC__ -- __TARGET_vax__,0,0,0,0,0,
__CONFIG_MIPS_ISA_3__ -- __CONFIG_SH5__,0,0,0,0,0,
__CONFIG_SPARC_V7__ -- __TARGET_i386__,0,0,0,0,0,
__LDSO_PRELOAD_FILE_SUPPORT__ -- __TARGET_v850__,0,0,0,0,0,
__CONFIG_AVR32_AP7__ -- __CONFIG_K7__,0,0,0,0,0,
__LDSO_NO_CLEANUP__ -- __UCLIBC_FORMAT_FLAT__,0,0,0,0,0,
__MALLOC_STANDARD__ -- __TARGET_v850__,0,0,0,0,0,
__TARGET_arm__ -- __UCLIBC_HAS_LONG_DOUBLE_MATH__,0,0,0,0,0,
__CONFIG_H8S__ -- __LDSO_NO_CLEANUP__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __TARGET_v850__,0,0,0,0,0,
__CONFIG_NEHEMIAH__ -- __TARGET_microblaze__,0,0,0,0,0,
__CONFIG_H8300H__ -- __TARGET_i386__,0,0,0,0,0,
__CONFIG_ELAN__ -- __CONFIG_SPARC_V9B__,0,0,0,0,0,
__TARGET_powerpc__ -- __TARGET_sh64__,0,0,0,0,0,
__CONFIG_GENERIC_386__ -- __CONFIG_K6__,0,0,0,0,0,
__CONFIG_SPARC_V8__ -- __CONFIG_SPARC_V9__,0,0,0,0,0,
__CONFIG_MIPS_N32_ABI__ -- __LINKRELAX__,0,0,0,0,0,
__ARCH_BIG_ENDIAN__ -- __CONFIG_WINCHIP2__,0,0,0,0,0,
__CONFIG_SH5__ -- __TARGET_bfin__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_WORDEXP__,0,0,0,0,0,
__CONFIG_MIPS_ISA_4__ -- __HAVE_NO_PIC__,0,0,0,0,0,
__CONFIG_SH3__ -- __TARGET_arm__,0,0,0,0,0,
__UCLIBC_HAS_CRYPT_IMPL__ -- __UCLIBC_HAS_CRYPT_STUB__,0,0,0,0,0,
__CONFIG_CRISV32__ -- __CONFIG_SH2A__,0,0,0,0,0,
__ARCH_HAS_NO_MMU__ -- __CONFIG_MIPS_ISA_MIPS64__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ -- __UCLIBC_HAS_PROGRAM_INVOCATION_NAME__,0,0,0,0,0,
