Constraint, #error, Parser, Type, Linker, Spec1Added, FeatureEffect, FeatureEffect_Build, Spec2Added, CodeAdded
__UCLIBC_HAS_SSP__ => !(__HAVE_NO_SSP__),,,,,,,,,,
__UCLIBC_HAS_SHA512_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT_IMPL__,,,,,,1,,1,1,
__ARCH_ANY_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_GLIBC_DIGIT_GROUPING__,,,,,,,,,,
__DODEBUG__ => __EXTRA_WARNINGS__,,,,,,,,,,
__LDSO_PRELOAD_ENV_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_HAS_FOPEN_LARGEFILE_MODE__ => __UCLIBC_HAS_LFS__,,,,,,1,,1,1,
__UCLIBC_HAS_SYS_SIGLIST__ => __UCLIBC_HAS_SIGNUM_MESSAGES__,,,,,,,,,,
__CONFIG_SH2A__ => __HAVE_NO_PIC__,,,,,,,,,,
__ARCH_HAS_BWD_MEMCPY__ <=> __CONFIG_SH4__,,,,,,,,,,
__TARGET_hppa__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_LINUX_MODULE_24__ => !(__TARGET_c6x__),,,,,,,,,,
__TARGET_sh__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_BACKTRACE__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_HAS_LOCALE__ => __UCLIBC_HAS_WCHAR__,1,,1,1,1,,,,1,
__UCLIBC_HAS_LIBUTIL__ => __UCLIBC_HAS_PTY__,,,,,,,,,,
__UCLIBC_HAS_CTYPE_SIGNED__ => __UCLIBC_HAS_CTYPE_TABLES__,,,,,,,,,,
__UCLIBC_HAS_STDIO_FUTEXES__ <=> __UCLIBC_HAS_THREADS_NATIVE__,,,,,,,,,,
__ASSUME_DEVPTS__ => __UCLIBC_HAS_PTY__,,,,,,,,,,
__CONFIG_SH2A__ => __ARCH_HAS_NO_MMU__,,,,,,,,,,
__UCLIBC_HAS_HEXADECIMAL_FLOATS__ => __UCLIBC_HAS_CTYPE_TABLES__,,,,,,,,,,
__LDSO_PRELINK_SUPPORT__ => __LDSO_STANDALONE_SUPPORT__,,,,,,,,,,
__TARGET_powerpc__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__TARGET_ia64__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_XLOCALE__ => __UCLIBC_HAS_LOCALE__,1,,1,1,1,,,,1,
__UCLIBC_BUILD_NOW__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_BUILD_SSP__ => __UCLIBC_HAS_SSP__,,,,,,,,,,
__UCLIBC_FORMAT_FDPIC_ELF__ => __DOPIC__,,,,,,,,,,
__TARGET_c6x__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_FORMAT_DSBT_ELF__ => __DOPIC__,,,,,,,,,,
__UCLIBC_HAS_RESOLVER_SUPPORT__ => __UCLIBC_HAS_COMPAT_RES_STATE__,,,1,,1,,,,1,
__TARGET_v850__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__LDSO_STANDALONE_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_DOWNLOAD_PREGENERATED_LOCALE_DATA__ => __UCLIBC_PREGENERATED_LOCALE_DATA__,,,,,,,,,,
__UCLIBC_BUILD_PIE__ => __HAVE_SHARED__,,,,,,,,,,
__HAVE_SHARED__ => !(__ARCH_HAS_NO_SHARED__),,,,,,,,,,
__CONFIG_SH5__ => __ARCH_HAS_MMU__,,,,,,,,,,
__CONFIG_SH2__ => __ARCH_HAS_NO_MMU__,,,,,,,,,,
__LDSO_GNU_HASH_SUPPORT__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_HAS_GLIBC_CUSTOM_PRINTF__ => !(__USE_OLD_VFPRINTF__),,,,,,,,,,
__TARGET_nios__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_CRYPT_STUB__ => __UCLIBC_HAS_CRYPT__,,,,,,,1,1,1,
__ARCH_BIG_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_SOCKET__,,,,1,1,,,,1,
__ARCH_LITTLE_ENDIAN__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
__SUPPORT_LD_DEBUG__ => __HAVE_SHARED__,,,,,,,,,,
__UCLIBC_HAS_SOFT_FLOAT__ => !(__UCLIBC_HAS_FPU__),,,,,,,,,,
__UCLIBC_BUILD_ALL_LOCALE__ => __UCLIBC_HAS_LOCALE__,,,,,,,,,,
__TARGET_i960__ => __FORCE_OPTIONS_FOR_ARCH__,,,,,,,,,,
