in individual
loaded all graphs
Implication, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Errors Model,Parsing Errors Model,
__TARGET_hppa__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_BUILD_ALL_LOCALE__,0,0,0,0,0,
__UCLIBC_DOWNLOAD_PREGENERATED_LOCALE_DATA__ => __UCLIBC_HAS_LOCALE__,0,0,0,0,0,
__CONFIG_H8S__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__TARGET_i386__ => __ARCH_HAS_MMU__,0,0,0,0,0,
__UCLIBC_STATIC_LDCONFIG__ => __HAVE_SHARED__,0,0,0,0,0,
__UCLIBC_HAS_GETTEXT_AWARENESS__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_H8300H__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_CTYPE_UNSAFE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_SH5__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING__ => __UCLIBC_HAS_GLIBC_DIGIT_GROUPING__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_NO_CLEANUP__,0,0,0,0,0,
__CONFIG_PENTIUMII__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_HAS_FOPEN_CLOSEEXEC_MODE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_SPARC_V9B__,0,0,0,0,0,
__UCLIBC_HAS_GETOPT_LONG__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_hppa__,0,0,0,0,0,
__CONFIG_SH4__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS___PROGNAME__,0,0,0,0,0,
__CONFIG_SH3__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_CTOR_DTOR__,0,0,0,0,0,
__HAVE_NO_PIC__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
